ONC,03/1/2015,high,6,4.822
ONC,03/1/2015,high,9,4.584
ONC,03/1/2015,high,12,4.528
ONC,03/1/2015,high,18,4.753
ONC,03/1/2015,high,24,4.684
ONC,03/1/2015,high,36,4.831
AEP NORTH,03/1/2015,low,6,5.53
AEP NORTH,03/1/2015,low,9,5.239
AEP NORTH,03/1/2015,low,12,5.143
AEP NORTH,03/1/2015,low,18,5.439
AEP NORTH,03/1/2015,low,24,5.336
AEP NORTH,03/1/2015,low,36,5.508
AEP NORTH,03/1/2015,medium,6,5.323
AEP NORTH,03/1/2015,medium,9,5.062
AEP NORTH,03/1/2015,medium,12,4.979
AEP NORTH,03/1/2015,medium,18,5.251
AEP NORTH,03/1/2015,medium,24,5.168
AEP NORTH,03/1/2015,medium,36,5.334
AEP NORTH,03/1/2015,high,6,5.121
AEP NORTH,03/1/2015,high,9,4.883
AEP NORTH,03/1/2015,high,12,4.814
AEP NORTH,03/1/2015,high,18,5.067
AEP NORTH,03/1/2015,high,24,4.997
AEP NORTH,03/1/2015,high,36,5.16
AEP CENTRAL,03/1/2015,low,6,5.755
AEP CENTRAL,03/1/2015,low,9,5.436
AEP CENTRAL,03/1/2015,low,12,5.284
AEP CENTRAL,03/1/2015,low,18,5.564
AEP CENTRAL,03/1/2015,low,24,5.404
AEP CENTRAL,03/1/2015,low,36,5.533
AEP CENTRAL,03/1/2015,medium,6,5.359
AEP CENTRAL,03/1/2015,medium,9,5.071
AEP CENTRAL,03/1/2015,medium,12,4.981
AEP CENTRAL,03/1/2015,medium,18,5.206
AEP CENTRAL,03/1/2015,medium,24,5.087
AEP CENTRAL,03/1/2015,medium,36,5.204
AEP CENTRAL,03/1/2015,high,6,5.061
AEP CENTRAL,03/1/2015,high,9,4.809
AEP CENTRAL,03/1/2015,high,12,4.749
AEP CENTRAL,03/1/2015,high,18,4.939
AEP CENTRAL,03/1/2015,high,24,4.848
AEP CENTRAL,03/1/2015,high,36,4.956
CNP,04/1/2015,low,6,5.475
CNP,04/1/2015,low,9,5.164
CNP,04/1/2015,low,12,5.065
